a,ある
unsaddled,鞍のない
unsafe,危険な
unsaid,言われていない
unsalable,売れない
unsalted,無塩
unsaluted,無礼な
unsanctified,聖化されていない
unsanctioned,認可されていない
unsanitariness,不衛生
unsanitary,不衛生な
unsaponified,未けん化
unsarcastic,嫌味のない
unsated,不飽和
unsatisfactorily,満足できない
unsatisfactoriness,不満
unsatisfactory,満足できない
unsatisfiable,満足できない
unsatisfied,満足していない
unsaturated,不飽和
unsavoriness,不味
unsavory,不快な
unsay,言わない
unscalable,スケーラブルではない
unscanned,未スキャン
unscathed,無傷の
unscheduled,予定外の
unscholarly,非学術的に
unschooled,未就学の
unscientific,非科学的な
unscientifically,非科学的に
unscoured,精練されていない
unscripted,台本なし
unscriptural,非聖書的な
unscrupulous,不謹慎な
unscrupulously,不謹慎に
unscrupulousness,不謹慎
unseal,封印を解く
unsealed,封印されていない
unseamanlike,海らしくない
unseamed,縫い目のない
unsearched,未検索
unseasonable,季節外れの
unseasonableness,不順
unseasonably,季節外れの
unseasoned,味付けされていない
unseat,席を外す
unseaworthy,航海に適さない
unseductive,誘惑的でない
unseeded,シードされていない
unseemliness,見苦しい
unseemly,見苦しい
unseen,見えない
unsegmented,セグメント化されていない
unsegmentic,非セグメント的な
unseldom,めったにない
unselected,未選択
unselective,非選択的
unselfconscious,無自覚
unselfconsciously,無意識のうちに
unselfconsciousness,無意識
unselfish,無私な
unselfishly,無私に
unselfishness,寡欲
unsensational,感覚的でない
unsent,未送信
unsentimentally,無感情に
unseparated,分離されていない
unserviceable,使えない
unservile,卑劣な
unsessile,固定されていない
unsettle,不安になる
unsettled,落ち着かない
unsettlement,不安
unsevered,切断されていない
unsex,セックスレス
unsexy,セクシーではない
unshackled,束縛を解かれた
unshaded,影なし
unshadowed,影のない
unshaken,揺るぎない
unshaped,形のない
unshapely,不格好な
unshared,非共有
unsharpened,削られていない
unshaven,無精ひげ
unsheared,剪断されていない
unsheathe,抜き放つ
unsheathed,鞘から出された
unshielded,シールドなし
unshifting,ずれない
unship,船から降ろす
unshockable,衝撃を受けない
unshocked,ショックを受けていない
unshod,裸の
unshorn,刈り取られていない
unshortened,短縮されていない
unshrinkable,収縮しない
unshrinking,縮まない
unshuttered,シャッターが閉まっていない
unsifted,ふるいにかけられていない
unsightliness,見苦しい
unsightly,見苦しい
unsigned,署名されていない
unsilenced,沈黙しない
unsinged,歌われていない
unsinkable,不沈
unsized,サイズなし
unskilled,未熟な
unskillful,下手な
unskillfulness,下手さ
unslaked,緩められていない
unsleeping,眠れない
unsmiling,笑わない
unsmilingly,笑わずに
unsmooth,滑らかでない
unsmoothed,平滑化されていない
unsnarling,怒鳴り散らす
unsociability,非社交性
unsociable,社交的でない
unsociably,無愛想に
unsocial,非社交的な
unsoiled,汚れていない
unsold,売れ残り
unsoldierlike,非兵士らしい
unsoldierly,非兵士的に
unsolicited,求められていない
unsolicitous,迷惑な
unsolved,未解決の
unsophisticated,洗練されていない
unsorted,未分類
unsought,求められていない
unsound,不健全な
unsoundable,聞こえない
unsoundness,不健全さ
unsoured,酸味のない
unsown,播種されていない
unspaced,スペースのない
unsparing,容赦のない
unspeakable,言葉では言い表せない
unspecialized,専門外の
unspecified,不特定
unspectacular,地味な
unspent,未使用の
unspied,スパイされていない
unspiritual,非霊的な
unspoken,暗黙の
unsportingly,スポーツに反して
unspotted,斑点のない
unstable,不安定な
unstaged,ステージされていない
unstaid,だらしない
unstained,汚れていない
unstartling,驚くべき
unstatesmanlike,非国家的
unsteadfast,不安定な
unsteadily,不安定な
unsteadiness,不安定
unsteady,不安定な
unsterilized,未滅菌
unstilted,頑丈な
unstimulating,刺激のない
unstinted,惜しみない
unstinting,惜しみなく
unstintingly,惜しみなく
unstirred,かき混ぜていない
unstoppable,止められない
unstopped,止まらない
unstoppered,止まらない
unstored,保存されていない
unstrained,緊張のない
unstratified,未層化
unstrengthened,強化されていない
unstressed,ストレスのない
unstruck,打たれていない
unstructured,構造化されていない
unstrung,緊張していない
unstuck,行き詰まっていない
unstudied,無勉強
unstudious,勉強しない
unsubdued,抑制されていない
unsubject,無主題
unsubmissive,従順でない
unsubsantial,実体のない
unsubservience,不服従
unsubservient,従順でない
unsubstantial,実体のない
unsubstantiality,実体のないこと
unsuccessful,失敗した
unsuccessfully,失敗した
unsuccessive,不連続な
unsugared,無糖
unsuitability,不適合
unsuitable,不適切な
unsuited,不向きな
unsullied,汚れていない
unsung,知られていない
unsunnd,不完全な
unsupervised,監督されない
unsupplied,供給されていない
unsupportable,支持できない
unsupported,サポートされていない
unsupportive,非協力的な
unsuppressed,抑制されていない
unsurmountable,乗り越えられない
unsurp,驚くべき
unsurpassable,超えられない
unsurpassed,比類のない
unsurpation,抜きん出た
unsurprised,驚くことはない
unsurprising,驚くべきことではない
unsusceptibility,感受性のなさ
unsusceptible,感受性のない
unsuspected,思いがけない
unsuspecting,疑いを持たない
unsuspectingly,疑いもなく
unsuspicious,疑わしい
unsustainable,持続不可能な
unsweet,甘くない
unsweetened,甘くない
unswept,掃いていない
unswerving,揺るぎない
unswervingly,揺るぎなく
unsworn,宣誓していない
unsyllabled,無音節
unsymmetric,非対称
unsympathetic,同情的でない
unsympathetically,無慈悲に
unsympathizing,同情しない
unsystematic,非体系的な
unsystematically,非体系的に
unsystematized,体系化されていない
untainted,汚れていない
untalked,語られていない
untamed,野蛮な
untangled,ほどけた
untanned,日焼けしていない
untapped,未開発の
untarnished,汚れのない
untasted,味わっていない
untaught,教えられていない
untaxed,非課税
unteach,教えない
unteachabel,教えられない
unteachable,教えられない
untempered,穏やかな
untenable,耐えられない
untenanted,賃貸人なし
untended,手入れされていない
untested,未テスト
untethered,束縛されていない
unthanked,感謝されていない
unthankful,感謝しない
unthankfulness,感謝の気持ちのなさ
unthawed,解凍されていない
untheatrical,非演劇的な
unthematic,テーマ外の
unthinkable,考えられない
unthinking,何も考えていない
unthought,思いもよらない
unthoughtfulness,思慮のなさ
unthread,スレッドを解除する
unthreatened,脅されていない
unthriftiness,倹約
unthrifty,倹約家
unthrone,王位を奪う
untidiness,乱雑
untidy,だらしない
untie,ほどく
untied,解けた
until,それまで
untilled,耕されていない
untimbered,素地
untimeliness,時期尚早
untimely,時期尚早な
untinged,染まっていない
untipped,タップされていない
untired,疲れていない
untiring,疲れない
untitled,無題
unto,まで
untoasted,トーストされていない
untold,語られない
untouchable,アンタッチャブル
untouched,手付かずの
untoward,不愉快な
untraceable,追跡不可能な
untraced,追跡されていない
untracked,追跡されていない
untractable,手に負えない
untrained,訓練を受けていない
untrammeled,解き放たれた
untranslatable,翻訳不可能
untranslated,未翻訳
untraveled,未旅行
untraversable,越えられない
untraversed,未踏破
untreasured,大切にされていない
untreated,未治療の
untried,試していない
untrimmed,トリミングされていない
untrodden,未踏
untroubled,問題なく
untrue,虚偽
untruly,不当に
untrustworthiness,不信感
untrustworthy,信頼できない
untruth,虚偽
untruthful,虚偽の
untruthfulness,虚偽
untucked,タックを取られていない
untufted,房なし
untunable,調整不可能な
unturned,戻されていない
untutored,教えられていない
untwine,ほどく
untwist,ねじれを解く
untwisted,ほどけた
untying,ほどく
ununderstood,理解できない
ununprepared,準備ができていない
unused,未使用
unusual,普通でない
unusually,珍しく
unusualness,異常さ
unutterable,言葉にならない
unvaccinated,ワクチン接種を受けていない
unvalued,価値のない
unvanquished,未征服
unvaried,変わらない
unvariedmonotonous,変化のない単調な
unvariedness,不変性
unvarnished,素地
unvarying,変わらない
unveil,明らかにする
unveiled,発表された
unveiling,お披露目
unvented,通気されていない
unventilated,換気されていない
unveracious,不誠実な
unverified,未確認
unversed,逆さまな
unvexed,苛立ちのない
unvindictive,執念のない
unviolated,違反されていない
unvisited,未訪問の
unvitrified,未ガラス化
unvoiced,無声
unvulcanized,未加硫
unwanted,不要な
unwantedly,不必要に
unwarily,不注意に
unwariness,不注意
unwarlike,非戦的な
unwarmed,温められていない
unwarned,警告なし
unwarped,歪んでいない
unwarrantable,保証できない
unwarrantably,不当に
unwarranted,不当な
unwary,不注意な
unwashed,洗っていない
unwasted,無駄のない
unwatchful,不注意な
unwavering,揺るぎない
unwaxed,ワックスがかかっていない
unweakened,弱っていない
unweaned,乳離れしていない
unwearable,着用できない
unwearied,疲れていない
unwebbed,水かきのない
unwed,未婚の
unwedded,未婚の
unweeded,除草されていない
unweeting,愛想を尽かさない
unweighed,計量されていない
unwelcome,歓迎されない
unwell,体調が悪い
unwholesome,不健全な
unwholesomeness,不健全さ
unwieldly,扱いにくい
unwieldy,扱いにくい
unwilled,不本意な
unwilling,不本意な
unwillingly,不本意ながら
unwillingness,不本意
unwind,くつろぐ
unwiped,拭いていない
unwise,愚かな
unwished,望まぬ
unwithered,枯れていない
unwitnessed,目撃されていない
unwitting,無意識のうちに
unwittingly,無意識のうちに
unwomanly,女らしくない
unwonted,不本意な
unwontedly,思わず
unwooded,木がない
unworkmanlike,労働者らしくない
unworldly,この世ならぬ
unworn,未着用
unworshiped,崇拝されていない
unworthily,ふさわしくない
unworthiness,無価値
unworthy,価値のない
unwound,ほどける
unwounded,無傷の
unwoven,不織布
unwrap,包みを解く
unwrapped,包まれていない
unwrinkled,しわのない
unwritten,書かれていない
unwronged,間違いのない
unwrought,鍛えられていない
unwrung,解き放たれた
unyielding,不屈の
up,上
upanishad,ウパニシャッド
upanishads,ウパニシャッド
upas,ウパス
upbear,上向きの
upbeat,明るい
upbound,上り
upbraid,腹立たしい
upbraiding,たしなめる
upbringing,育成
upcast,アップキャスト
upcurved,上向きに曲がった
update,アップデート
updating,更新中
updraft,上昇気流
upended,ひっくり返った
upfield,高野
upgrade,アップグレード
upgrow,成長する
upgrowth,成長
upharsin,ウファルシン
upheaval,激動
upheave,激動する
uphill,上り坂
uphoist,アップホイスト
uphold,支持する
upholder,支持者
upholsterer,室内装飾業者
upholstery,室内装飾品
upland,高地
uplands,高地
uplift,隆起
uplifted,高揚した
uplifting,高揚感のある
uplink,アップリンク
upmarket,高級
upon,その上
uponsand,砂の上
upper,アッパー
uppercase,大文字
uppercut,アッパーカット
uppermost,一番上の
uppers,アッパー
uppityness,善意
upraise,高く評価する
upraised,高く評価された
uprear,上方
upright,直立
uprightly,直立して
uprightness,直立性
uprise,蜂起
uprising,蜂起
upriver,上流
uproar,大騒ぎ
uproarious,騒々しい
uproot,根こそぎにする
uprude,無礼な
ups,UPS
upscale,高級な
upset,動揺
upshot,結論
upside,上向き
upsilon,ウプシロン
upstage,ステージ上
upstaged,格上げされた
upstairs,上の階
upstart,成り上がり者
upstate,北部
upstream,上流の
upstroke,アップストローク
uptake,摂取
uptick,上昇する
uptodate,最新の
uptothemoment,今のところ
uptown,アップタウン
upturn,好転
upturned,ひっくり返った
upupa,ウプパ
upupidae,ウプピダエ
upward,上向き
upwards,上向きに
upwind,風上
ur,あなたは
uracil,ウラシル
uralic,ウラル語
urals,ウラル
urania,ウラニア
uranic,ウラン
uraninite,ウラン鉱
uranium,ウラン
uranogrraphy,ウラノグラフィー
uranolite,ウラノライト
uranology,尿路学
uranoscopidae,ウラノスコ科
uranus,天王星
uranyl,ウラニル
urban,都会的な
urbane,都会的な
urbanely,都会的に
urbanity,都会性
urbanization,都市化
urbanized,都市化された
urbe,ウルベ
urbent,緊急の
urbis,ウルビス
urceolate,ウルセオレート
urceole,ウルセオール
urceus,ウルセウス
urchin,ウニ
urd,ウルド
urdu,ウルドゥー語
urea,尿素
uredinales,ウレディナ目
uremarked,うれマーク付き
uremia,尿毒症
ureter,尿管
ureteritis,尿管炎
urethane,ウレタン
urethra,尿道
urethral,尿道
urethritis,尿道炎
urge,衝動
urgency,緊急
urgent,緊急
urgently,緊急に
urginea,ウルギナ
urging,促す
uria,ウリア
urial,尿瓶
uric,尿酸
urinal,便器
urinalysis,尿検査
urinary,尿道
urine,尿
urn,骨壷
urnam,ウルナム
urochord,ウロコード
urochordata,尿索動物
urocyon,ウロシオン
urocystis,ウロシスティス
urodele,ウロデル
urodella,ウロデラ
urologist,泌尿器科医
urology,泌尿器科
urophycis,ウロフィシス
uropsilus,ウロプシルス
uropygium,ウロピジウム
urosaurus,ウロサウルス
ursidae,クマ科
ursine,ウルシネ
ursinia,ウルシニア
ursus,ウルスス
urtica,蕁麻疹
urticaceae,イラクサ科
urticales,じんましん
urtication,蕁麻疹
urubupunga,ウルブプンガ
uruguay,ウルグアイ
uruguayan,ウルグアイ人
us,私たち
usage,使用法
usance,ユーザンス
use,使用
useable,使える
used,使用済み
useful,役に立つ
usefully,有益に
usefulness,使いやすさ
useless,使い物にならない
uselessly,無駄に
uselessness,無駄
usemake,ユースメイク
user,ユーザー
ushas,ウシャ
usher,案内人
usherette,案内係
usine,使用します
using,を使用して
usnea,ウスネア
usneaceae,ウスネア科
usque,ウスク
usquebaugh,ウスケボー
ustilaginaceae,ウスチラギナ科
ustilaginales,ウスチラギナ目
ustilaginoidea,ウスティラギノイデア
ustilago,ウスティラゴ
ustulation,発作
usual,いつもの
usually,いつもの
usualness,いつものこと
usucapient,使用者
usucaption,使用キャプション
usufruct,用益権
usurer,高利貸し
usurious,高利な
usurp,奪う
usurpation,簒奪
usurped,簒奪された
usurper,簒奪者
usury,高利貸し
usus,私たち
ut,うーん
uta,うた
utah,ユタ州
utahan,ユタハン
utahraptor,ユタラプトル
ute,ユート
utensil,器具
utensils,食器
uterine,子宮
uterus,子宮
uti,ウティ
utica,ユーティカ
utilitarian,功利主義的な
utilitarianism,功利主義
utilitate,活用する
utility,ユーティリティ
utilizable,活用できる
utilization,利用
utilize,利用する
utilized,活用された
utmost,最大限の
utnapishtim,ウトナピシュティム
utopia,ユートピア
utopian,ユートピア
utopianism,ユートピア主義
utopist,ユートピスト
utra,ウートラ
utrecht,ユトレヒト
utricle,卵形嚢
utricularia,ウトリクラリア
utrillo,ユトリロ
utrumque,ウトルムケ
utter,まったく
utterance,発言
uttered,発声した
utterly,全く
uttermost,最も
utu,ウツ
uvea,ぶどう膜
uveal,ブドウ膜
uveitis,ぶどう膜炎
uvula,口蓋垂
uvular,口蓋垂
uvularia,口蓋垂
uvulariaceae,口蓋垂科
uvulitis,口蓋垂炎
uxor,ウソール
uxoricide,ウクソリサイド
uxorious,ひどい
uxoriously,ありがたいことに
uxoriousness,贅沢
uzbek,ウズベク語
uzbekistan,ウズベキスタン
uzi,ウジ
va,ヴァ
vac,真空状態
vacancy,欠員
vacant,空いている
vacantly,ぼんやりと
vacate,空ける
vacation,休暇
vacationer,行楽客
vacationing,休暇中
vacatur,休暇
vaccaria,ヴァッカリア
vaccination,予防接種
vaccine,ワクチン
vaccinee,ワクチン接種者
vaccinium,ワクシニウム
vache,ヴァシュ
vacillant,不安定な
vacillate,揺れ動く
vacillating,揺れ動いている
vacillation,動揺
vacuity,真空
vacuolar,空胞性
vacuolate,空洞化する
vacuole,液胞
vacuolization,空胞化
vacuometer,真空計
vacuous,空虚な
vacuously,空虚に
vacuum,真空
vade,ベイド
vadium,バジウム
vaduz,ファドゥーツ
vae,ヴァエ
vagabond,放浪者
vagabondage,放浪
vagabondism,放浪癖
vagal,迷走神経
vagary,気まぐれな
vagas,迷走
vagile,移り気な
vagina,膣
vaginal,膣
vaginate,膣に出す
vaginitis,膣炎
vagitus,膣炎
vagrancy,浮浪
vagrant,浮浪者
vague,漠然
vaguely,漠然と
vagueness,曖昧さ
vagus,迷走神経
vail,ベイル
vain,うぬぼれが強い
vaincre,ヴァインクレ
vainglorious,うぬぼれている
vainglory,見栄っ張り
vainly,無駄に
vaishnava,ヴァイシュナヴァ
vaishnavism,ヴァイシュナビズム
vaisya,ヴァイシャ
vajra,金剛杵
vakas,ヴァカス
vakass,バカス
vakil,ヴァキル
val,ヴァル
valance,バランス
valde,バルデ
valdez,バルディーズ
valdosta,ヴァルドスタ
vale,谷
valeant,勇敢な
valeat,バレート
valediction,決別
valedictorian,総代
valedictory,総代
valence,価数
valencia,バレンシア
valency,価
valentine,バレンタイン
valeque,バレーク
valere,バレレ
valerian,バレリアン
valeriana,バレリアナ
valerianaceae,バレリアン科
valerianella,バレリアネラ
valet,係員付き
valete,バレテ
valetudinarian,バレトゥディナリアン
valetudinarianism,バレトゥディナリズム
valetudinary,貴重な
valgono,ヴァルゴノ
valhalla,ヴァルハラ
vali,バリ
valiant,勇敢な
valiantly,勇敢に
valid,有効
validated,検証済み
validation,検証
validity,有効
validly,有効に
valine,バリン
valise,かばん
valkyrie,ワルキューレ
vallation,ヴァレーション
valletta,バレッタ
valley,谷
valleys,谷
vallisneria,バリスネリア
vallum,バルム
valmy,元気な
valoir,バロワール
valor,勇気
valorem,価額
valorization,物価安定政策
valorous,勇敢な
valparaiso,バルパライソ
valuable,貴重な
valuation,評価
value,価値
valued,大切にされている
valueless,無価値な
valuelessness,無価値さ
valuer,鑑定人
values,価値観
valve,バルブ
valved,バルブ付き
valvular,弁膜
valvulitis,弁膜炎
vambrace,ヴァンブレイス
vamoose,ヴァムース
vamose,バモス
vamp,ヴァンプ
vampire,吸血鬼
vampirism,吸血鬼症
van,バン
vana,ヴァナ
vanadate,バナジン酸塩
vanadinite,バナジン石
vanadium,バナジウム
vancomycin,バンコマイシン
vancourier,バンクーリエ
vancouver,バンクーバー
vanda,ヴァンダ
vandal,破壊者
vandalism,破壊行為
vandyke,ヴァンダイク
vane,羽根
vanellus,ヴァネルス
vanessa,ヴァネッサ
vanfos,ヴァンフォス
vanguard,前衛
vangueria,ヴァンゲリア
vanilla,バニラ
vanillin,バニリン
vanir,バニル
vanish,消える
vanished,消えた
vanishing,消失
vanishingly,消えゆくように
vanitas,ヴァニタス
vanitatum,ヴァニタタム
vanity,虚栄心
vanquish,征服する
vantage,有利な
vanuatu,バヌアツ
vapid,くだらない
vapidly,むなしく
vapor,蒸気
vaporarium,ヴァパラリウム
vaporation,蒸発
vaporer,ヴェイパー
vaporific,気化した
vaporing,蒸発する
vaporizable,気化性の
vaporization,気化
vaporize,蒸発させる
vaporizer,ヴェポライザー
vaporous,蒸気状の
vaporousness,蒸気性
vapors,蒸気
vaquero,バケロ
vara,ヴァラ
varanidae,バラニダエ
varanus,ヴァラヌス
vargueno,バルゲノ
variability,変動性
variable,変数
variably,変動的に
variance,分散
variant,変異体
variation,変化
variations,バリエーション
varicella,水痘
varicolored,多彩な
varicose,静脈瘤
varicosis,静脈瘤
varied,さまざまな
variedness,多様性
variegate,多彩な
variegated,多彩な
variegation,斑入り
variety,バラエティ
varietys,いろいろな
variform,変化形
variola,痘瘡
variometer,バリオメーター
variorum,バリオラム
various,様々な
variously,色々と
varium,バリウム
varlet,ヴァレット
varmint,害虫
varnish,ワニス
varsity,代表チーム
varuna,ヴァルナ
vary,変化する
varying,変化する
vascular,血管
vasculitis,血管炎
vasculum,血管
vase,花瓶
vasectomy,精管切除術
vaseline,ワセリン
vasicular,血管
vasoconstriction,血管収縮
vasoconstrictor,血管収縮薬
vasodilation,血管拡張
vasodilator,血管拡張剤
vasomotor,血管運動神経
vasopressin,バソプレシン
vassal,家臣
vassalage,臣下
vast,広大な
vastly,大いに
vasty,広大な
vat,バット
vaten,ヴァテン
vatican,バチカン
vaticide,殺虫剤
vaticinal,バチナル
vaticinate,バチバチする
vaticination,ワクチン接種
vatum,バトゥム
vaudeville,寄席
vaudevillian,ボードビリアン
vaughan,ヴォーン
vault,金庫室
vaulted,アーチ型の
vaulter,跳躍者
vaulting,跳び箱
vaunt,自慢
vaunted,自慢の
vauntingly,誇らしげに
vauntmure,ヴァンミュール
vaunts,自慢する
vaurien,ヴァリアン
vaut,金庫
vavasour,ヴァバソール
vayu,ヴァーユ
vb,ああ
vc,VC
vd,ビデオ
veadar,ヴェダール
veal,子牛の肉
veas,ヴィース
veau,おお
vecchio,ヴェッキオ
vectigal,植物性の
vectigalia,ベクティリア
vection,ベクション
vectitation,うっとうしい
vector,ベクター
vecture,ベクター
veda,ヴェーダ
vedalia,ヴェダリア
vedas,ヴェーダ
vedette,ヴェデット
vedi,見る
vedic,ヴェーダ
veer,方向転換する
veering,方向転換する
veery,とても
vega,ベガ
vegan,ビーガン
vegetability,植生
vegetable,野菜
vegetal,植物性
vegetality,植物性
vegetarian,ベジタリアン
vegetarianism,菜食主義
vegetate,植物
vegetation,植生
vegetative,植物的な
vegetive,植物的な
vegitous,活発な
vehemence,激しい
vehement,激しく
vehemently,激しく
vehicle,車両
vehicles,車両
vehicular,車両
vehis,車両
veil,ベール
veiled,ベールに包まれた
vein,静脈
veinal,静脈性の
veined,静脈のある
veinlet,静脈
veins,静脈
vel,ベル
velar,軟膏
velcro,ベルクロ
veld,草原
veldt,ヴェルト
veldtschoen,フェルトシェーン
velis,ヴェリス
velit,ヴェリット
velitation,ベロテーション
velleity,滑らかさ
vellicate,口をきく
vellicating,怒鳴り散らす
vellum,羊皮紙
velo,ベロ
veloce,ベローチェ
velocipede,ベロシペード
velociraptor,ヴェロキラプトル
velocity,速度
velours,ベロア
veloute,ヴルーテ
velow,遅い
velumen,羊皮紙
veluti,ヴェルティ
velutinous,絨毯状の
velveeta,ベルヴィータ
velvet,ベルベット
velveteen,別珍
velvetleaf,ビロードの葉
velvety,ビロードのような
vena,静脈
venal,性器
venality,悪徳
venation,静脈
vend,売ります
vendaval,ヴェンダヴァル
vendee,復讐者
vendemiaire,ヴァンデミエール
vender,ベンダー
vendere,ベンダー
vendetta,復讐
vendibility,販売可能性
vendible,販売可能な
vendibleness,販売可能性
vending,自動販売機
venditation,復讐
vendor,ベンダー
vendue,販売所
veneer,ベニヤ
veneering,ベニヤリング
venenation,崇拝
venenum,静脈
venerable,由緒ある
venerate,崇拝する
veneration,崇拝
veneridae,ベネリ科
venery,静脈
venesection,ベネセクション
venetian,ベネチアン
veneto,ベネト
venezuela,ベネズエラ
venezuelan,ベネズエラ人
vengeance,復讐
vengeful,復讐心のある
veni,ヴェニ
veniable,うらやましい
venial,ベニアル
veniam,ベニアム
venice,ヴェネツィア
veniens,ベニアン
veniente,ベニエンテ
venir,ベニール
venire,ヴェニール
venison,鹿肉
venit,来る
vennel,ベンネル
venogram,静脈造影
venography,静脈造影
venom,毒
venomed,毒のある
venomous,有毒な
venose,静脈性の
venous,静脈性の
vent,排出する
vented,通気された
venter,ベンター
venthole,ベントホール
ventiduct,通気口
ventilate,換気する
ventilated,換気された
ventilation,換気
ventilator,人工呼吸器
ventilatory,換気用
ventose,ベントース
ventosity,通気性
ventpeg,ベントペグ
ventral,腹側
ventrally,腹側に
ventre,ベントレ
ventricle,心室
ventricose,腹痛
ventricular,心室
ventriloquism,腹話術
ventriloquist,腹話術師
venture,ベンチャー
venturesome,冒険的な
venturi,ベンチュリ
venturous,冒険好きな
venue,会場
venula,小静脈
venule,小静脈
venus,金星
venuss,金星
veps,ベップス
vera,ベラ
veracious,正直な
veracity,真実性
veracruz,ベラクルス
veranda,ベランダ
verandah,ベランダ
verapamil,ベラパミル
veratrum,口蓋蓋
verb,動詞
verba,言葉遣い
verbal,口頭で
verbalization,言語化
verbally,口頭で
verbarian,口語的な
verbascum,くどい
verbatim,逐語的に
verbena,バーベナ
verbenaceae,クマツヅラ科
verbera,ベルベラ
verbesina,バーベシナ
verbiage,言葉遣い
verbis,動詞
verbolatry,言葉遣い
verborum,饒舌
verbose,冗長な
verbosely,くどくどと
verboseness,冗長さ
verbosity,冗長性
verbs,動詞
verbum,逐語的に
verd,ヴェルド
verdad,ベルダド
verdandi,ヴェルダンディ
verdant,緑豊かな
verdice,ヴェルディセ
verdict,評決
verdigris,緑青
verdin,ヴァーディン
verdine,ヴァーディン
verditer,評決者
verditure,緑青
verdun,ヴェルダン
verdure,新緑
verdurous,緑豊かな
verecundiam,ベレクンディアム
verecundity,真実性
verein,ヴェライン
verge,寸前
vergeht,寸前
vergent,差し迫った
verger,バーガー
vergil,バージル
verging,近づいている
verguenza,恥
veri,ヴェリ
veridical,真実の
veriest,最も
verifiable,検証可能な
verification,検証
verified,検証済み
verify,確認する
verily,まさに
verisimilar,そっくりな
verisimilitude,真実味
verita,ベリタ
veritable,まさに
veritas,ベリタス
veritatem,真実
veritatis,本当のこと
verite,ヴェリテ
verity,真実性
verjuice,ヴェルジュ
vermeology,バーミオロジー
vermicelli,バーミセリ
vermicular,バーミキュラ
vermiculate,バーミキュレートする
vermiculation,蠕動
vermiform,虫状
vermifuge,害虫駆除剤
vermilion,朱色
vermin,害虫
verminous,害虫
vermont,バーモント州
vermonter,バーモント州
vermouth,ベルモット
vernacular,現地語
vernal,春の
vernier,バーニア
vernunft,ヴェルヌンフト
vero,ベロ
verona,ヴェローナ
veronica,ベロニカ
verpa,ヴェルパ
verrazano,ヴェラザノ
verre,ヴェール
verrons,ベロン
verruca,疣贅
verrucose,疣贅
versa,逆に
versailles,ベルサイユ
versatile,多用途
versatility,多用途性
verse,詩
versed,精通した
verses,詩
versicle,バーシクル
versicolor,癜風
versification,バージョン確認
versifier,バーシファイア
version,バージョン
versity,バーシティ
verso,裏側
verst,ベルスト
verstand,理解
versus,対
vert,垂直
verte,ヴェルテ
vertebra,脊椎
vertebral,脊椎
vertebrata,脊椎動物
vertebrate,脊椎動物
vertebration,脊椎
vertex,バーテックス
vertical,垂直
verticality,垂直性
vertically,垂直方向
vertice,頂点
verticil,バーティル
verticillate,めまいがする
verticilliosis,バーチシロ症
verticillium,バーティシリウム
verticity,垂直性
verticle,縦棒
vertiginous,めまいがする
vertigo,めまい
vertilabrum,椎間板
vertu,バートゥ
verum,ヴェルム
verve,勇敢な
vervet,ベルベット
vervis,バービス
very,とても
vesalius,ヴェサリウス
vesical,膀胱性の
vesicant,発疹性の
vesicaria,ベシカリア
vesicatory,膀胱炎
vesicle,小胞
vesicular,水疱状の
vesiculitis,水疱炎
vespa,ベスパ
vespers,晩節
vespertilio,ヴェスペルティリオ
vespertilionidae,ベスペルティリオ科
vespertine,スズメバチ
vespid,スズメバチ
vespidae,スズメバチ科
vespucci,ベスプッチ
vespula,ベスプラ
vessel,容器
vest,ベスト
vesta,ベスタ
vestal,ヴェスタル
vested,既得
vestiary,祭壇
vestibular,前庭
vestibule,前室
vestige,痕跡
vestigia,足音
vestigial,痕跡的な
vestment,衣類
vestmental,衣類
vestmented,服を着た
vestments,服装
vestry,ヴェストリー
vestryman,祭礼者
vestrywoman,祭礼婦
vesture,着る
vesuvian,ベスビアン
vesuvianite,ベスビアナイト
vesuvius,ヴェスヴィオ山
vet,獣医
vetch,レンゲ
vetchling,ベッチリング
vetera,古い
veteran,ベテラン
veterinarian,獣医
veterinary,獣医用
veteris,古い
veto,拒否
vettura,車で
vetturino,キャリッジ
veut,望む
veuve,かどうか
vex,ヴェックス
vexata,嫌がらせを受けた
vexation,嫌がらせ
vexatious,厄介な
vexed,イライラした
vexillum,フラグ
vf,見る
vg,例えば
vgreat,素晴らしい
vi,力
via,道
viability,生存可能性
viable,実行可能な
viaduct,高架橋
vial,高速道路
vials,バイアル
viameter,道路メーター
viand,ヴィアンド
viands,ヴィアンズ
vias,方法
viatical,バイアル
viatication,経由
viaticum,旅行
vibes,雰囲気
vibrant,彼らは振動する
vibraphone,ビブラフォン
vibrate,振動する
vibratile,振動している
vibrating,振動している
vibration,振動
vibrational,振動的な
vibratiuncle,振動
vibrato,振動している
vibrator,バイブレーター
vibratory,振動している
vibrio,振動
vibrionic,振動性の
vibroscope,振動計
viburnum,雪だるま
vicar,ライブ
vicarage,牧師
vicarial,代理人
vicariate,代わりに
vicarious,代理の
vicariously,代わりに
vicarship,牧師職
vice,振り向く
vicegerency,副知事
vicegerent,彼らは殺すだろう
vicenary,副官
vicennial,副年祭
viceregal,総督
viceregent,彼らが支配するだろう
vicereine,副レーヌ
viceroy,総督
viceroyalty,副王権
viceroyship,副王権
vicesimal,逆に
vici,勝った
vicia,副
vicinage,近所
vicinal,隣接する
